id,_3_4_methylenedioxyethylamphetamine,couleur,diametre,epaisseur,forme,hauteur,largeur,masse
2,,Blanche,0,0,,0,0,0
36,,Beige,11.09,4.31,Circulaire,0,0,450
39,,Blanc Cassé,0,0,,0,0,0
41,,Violet,15,9.1,Circulaire,0,0,450
58,,Beige,0,0,,0,0,0
59,,Beige,0,0,,0,0,0
60,,Beige,0,0,,0,0,0
61,,Beige,0,0,,0,0,0
62,,Beige,0,0,,0,0,0
63,,Beige,0,0,,0,0,0
64,,Beige,0,0,,0,0,0
65,,Grise,0,5.6,Autre,13,9.3,489
66,,Grise,0,5.6,Autre,13,9.3,489
67,,Grise,0,5.6,Autre,13,9.3,489
68,,Grise,0,5.6,Autre,13,9.3,489
69,,Grise,0,5.6,Autre,13,9.3,489
71,,Blanche,0,0,,0,0,0
72,,Blanche,0,0,,0,0,0
73,,Blanche,0,0,,0,0,0
74,,Blanche,0,0,,0,0,0
75,,Blanche,0,0,,0,0,0
76,,Blanche,0,0,,0,0,0
77,,Blanche,0,0,,0,0,0
78,,Blanche,0,0,,0,0,0
79,,Blanche,0,0,,0,0,0
80,,Blanche,0,0,,0,0,0
113,,Bleue,10,4,Circulaire,0,0,500
149,,Blanc Cassé,0,0,,0,0,0
163,,Grise,0,5.18,Triangulaire,10.04,10.55,408
164,,Beige,11.09,4.31,Circulaire,0,0,450
165,,Beige,11.07,3.51,Circulaire,0,0,382
166,,Vert,11.13,4.18,Circulaire,0,0,407
167,,Vert,11.1,3.84,Circulaire,0,0,403
168,,Blanche,0,4.62,Rectangulaire_Carré,6.06,12.13,413
169,,Beige,0,0,,0,0,0
170,,Beige,0,0,,0,0,0
171,,Beige,0,0,,0,0,0
172,,Beige,0,0,,0,0,0
249,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
250,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
251,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
252,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
253,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
254,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
255,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
256,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
257,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
258,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
259,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
260,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
261,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
262,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
263,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
264,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
265,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
266,,Orange,0,4.8,Polygonale,9.1,10.9,486.5
269,,Rose,0,2,Autre,13,5,438
270,,Rose,0,2,Autre,13,5,438
271,,Rose,0,2,Autre,13,5,438
272,,Rose,0,2,Autre,13,5,438
297,,Translucide,0,0,,0,0,0
336,,Vert,11.18,4.17,Circulaire,0,0,375
337,,Vert,11.18,4.17,Circulaire,0,0,375
343,,Rouge,0,6.4,Rectangulaire_Carré,7.07,11.63,508
344,,Orange,0,4.57,Autre,12.15,9.16,409
373,,Jaune,0,4.92,Polygonale,11.72,8.6,396
395,,Vert,0,0,,0,0,0
404,,Blanc Cassé,0,0,,0,0,0
405,,Blanc Cassé,0,0,,0,0,0
406,,Blanc Cassé,0,0,,0,0,0
407,,Blanc Cassé,0,0,,0,0,0
408,,Blanc Cassé,0,0,,0,0,0
409,,Blanc Cassé,0,0,,0,0,0
410,,Blanc Cassé,0,0,,0,0,0
411,,Blanc Cassé,0,0,,0,0,0
412,,Blanc Cassé,0,0,,0,0,0
413,,Blanc Cassé,0,0,,0,0,0
414,,Blanc Cassé,0,0,,0,0,0
415,,Blanc Cassé,0,0,,0,0,0
416,,Blanc Cassé,0,0,,0,0,0
417,,Blanc Cassé,0,0,,0,0,0
418,,Blanc Cassé,0,0,,0,0,0
419,,Blanc Cassé,0,0,,0,0,0
420,,Blanc Cassé,0,0,,0,0,0
421,,Blanc Cassé,0,0,,0,0,0
422,,Blanc Cassé,0,0,,0,0,0
423,,Blanc Cassé,0,0,,0,0,0
424,,Blanc Cassé,0,0,,0,0,0
425,,Blanc Cassé,0,0,,0,0,0
426,,Blanc Cassé,0,0,,0,0,0
427,,Blanc Cassé,0,0,,0,0,0
428,,Blanc Cassé,0,0,,0,0,0
429,,Blanc Cassé,0,0,,0,0,0
430,,Blanc Cassé,0,0,,0,0,0
431,,Blanc Cassé,0,0,,0,0,0
432,,Blanc Cassé,0,0,,0,0,0
433,,Blanc Cassé,0,0,,0,0,0
434,,Blanc Cassé,0,0,,0,0,0
435,,Blanc Cassé,0,0,,0,0,0
436,,Blanc Cassé,0,0,,0,0,0
437,,Blanc Cassé,0,0,,0,0,0
438,,Blanc Cassé,0,0,,0,0,0
439,,Blanc Cassé,0,0,,0,0,0
440,,Blanc Cassé,0,0,,0,0,0
441,,Blanc Cassé,0,0,,0,0,0
442,,Blanc Cassé,0,0,,0,0,0
443,,Blanc Cassé,0,0,,0,0,0
447,,Blanc Cassé,0,0,,0,0,0
456,,Blanche,0,0,,0,0,0
457,,Blanche,0,0,,0,0,0
459,,Translucide,0,0,,0,0,0
479,,Vert,0,5.1,Autre,14,10,603
480,,Vert,0,5.1,Autre,14,10,603
481,,Vert,0,5.1,Autre,14,10,603
482,,Vert,0,5.1,Autre,14,10,603
483,,Vert,0,5.1,Autre,14,10,603
484,,Vert,0,5.1,Autre,14,10,603
522,,Rose,0,2.05,Rectangulaire_Carré,7.22,13.71,567
523,,Rose,0,2.05,Rectangulaire_Carré,7.22,13.71,567
524,,Rose,0,2.05,Rectangulaire_Carré,7.22,13.71,567
538,,Rose,0,4.3,Autre,14.72,10.68,542
556,,Blanc Cassé,0,0,,0,0,0
557,,Blanc Cassé,0,0,,0,0,0
558,,Blanc Cassé,0,0,,0,0,0
559,,Blanc Cassé,0,0,,0,0,0
560,,Blanc Cassé,0,0,,0,0,0
