id,_3_4_methylene_dioxy_methylamphetamine,cafeine,cocaine,couleur,levamisole,lidocaine,n_methyl_tryptamine
11,,0,84.2,Blanche,0,0,
12,,0,90.5,Blanche,0,0,
13,,0,90.5,Blanche,0,0,
14,,0,87.9,Blanche,0,0,
15,,0,50.3,Blanche,0,0,
16,,0,76.7,Blanche,0,0,
17,,0,71.3,Blanche,9,0,
18,,0,76.1,Blanche,0,0,
19,,0,59.7,Blanche,27.5,0,
22,,0,31.9,Blanche,0,9.7,
23,,0,67.2,Blanche,15.3,0,
24,,0,82.4,Blanche,6.9,0,
25,,0,73.6,Blanche,0,0,
26,,0,50.9,Blanche,17.8,0,
27,,0,53.4,Blanche,5.2,0,
28,,0,53.4,Blanche,39.8,0,
34,,0,78.4,Blanche,11.2,0,
35,,0,80,Blanche,0,0,
40,,3.2,23.7,Blanche,0,6.7,
43,,0,77.6,Blanche,14.3,0,
44,,0,86.9,Blanche,0,0,
45,,0,92.7,Blanche,0,0,
46,,0,92.7,Blanche,0,0,
47,,0,92.7,Blanche,0,0,
48,,0,92.7,Blanche,0,0,
102,,0,44.1,Blanche,17.8,0,
103,,0,548,,0,0,
104,,0,633,,0,0,
105,,0,620,,0,0,
106,,0,494,,0,0,
107,,0,491,,0,0,
108,,0,491,,0,0,
109,,0,56.8,Blanche,36.8,0,
110,,0,581,,0,0,
111,,0,78.4,Blanche,11.2,0,
112,,0,80,Blanc Cassé,0,0,
114,,10.5,40.9,Blanche,42.6,0,
115,,0,86.5,Blanche,0,0,
116,,0,90.5,Blanche,0,0,
117,,0,85.5,Blanche,0,0,
118,,0,88.9,Blanche,0,0,
119,,0,84.7,Blanche,0,0,
120,,0,91.3,Blanche,0,0,
121,,0,85.5,Blanche,0,0,
134,,0,38.8,Blanche,56.7,0,
135,,7,49.3,Blanche,26.4,0,
136,,7,49.3,Blanche,26.4,0,
137,,7,49.3,Blanche,26.4,0,
138,,100,0,Blanche,0,0,
139,,0,85.5,Blanche,0,0,
140,,0,85.5,Blanche,0,0,
142,,0,31.7,Blanche,60.3,0,
143,,3.8,71.2,Blanche,9.7,0,
145,,0,79.2,Blanche,0,0,
146,,0,70.1,Blanche,0,0,
147,,0,76.5,Blanche,0,0,
148,,0,72.2,Blanche,13.8,0,
150,,0,80.8,Blanche,0,0,
151,,0,77.5,Blanche,7.3,0,
152,,0,76.6,Blanche,12.1,0,
153,,0,81.6,Blanche,5.4,0,
160,,0,43.2,Blanche,0,0,
161,,0,43.2,Blanche,0,0,
162,,0,43.2,Blanche,0,0,
174,,0,32,Blanche,0,0,
175,,0,32,Blanche,0,0,
176,,0,32,Blanche,0,0,
177,,0,32,Blanche,0,0,
178,,0,32,Blanche,0,0,
179,,0,32,Blanche,0,0,
186,,0,0,Blanche,0,0,
188,,0,59.7,Blanche,0,0,
189,,0,59.7,Blanche,0,0,
190,,0,41.4,Blanche,0,0,
208,,0,53,Blanche,0,0,
210,,0,41,Blanche,0,8,
211,,0,42,Blanche,0,0,
212,,0,44,Blanche,0,0,
214,,0,82.5,Blanche,0,0,
216,,0,40,Blanche,0,0,
217,,0,78.1,Blanche,0,0,
218,,0,41,Blanche,0,0,
227,,0,38,Blanche,0,0,
228,,0,84,Blanche,0,0,
234,,0,62,Blanche,0,0,
244,,0,67.1,Blanche,9.4,0,
245,,0,71.8,Blanche,4.3,0,
246,,0,54.9,Blanche,14.2,0,
247,,0,51.7,Blanche,13.8,0,
248,,0,59.6,Blanche,20.3,0,
273,,0,64.3,Blanche,25.8,0,
274,,0,64.3,Blanche,25.8,0,
275,,0,64.3,Blanche,25.8,0,
276,,0,86,Blanc Cassé,0,0,
277,,0,86,Blanc Cassé,0,0,
278,,0,86,Blanc Cassé,0,0,
279,,0,68.8,Blanche,22.6,0,
280,,0,68.8,Blanche,22.6,0,
283,,0,72,Blanche,19.4,0,
284,,0,72,Blanche,19.4,0,
285,,0,74.9,Blanche,15.1,0,
286,,0,67.4,Blanche,0,0,
289,,0,72,Blanche,0,0,
290,,0,71,Blanche,0,0,
291,,0,64,Blanche,0,0,
292,,0,62,Blanche,0,0,
293,,0,61,Blanche,0,0,
294,,0,69,Blanche,0,0,
296,,0,84,Blanche,0,0,
298,,0,33,Blanche,0,0,
335,,0,0,Blanche,0,0,
340,,0,70,Blanche,3.8,0,
341,,0,79.9,Blanche,0,0,
345,,0,58.9,Blanche,0,0,
346,,0,78.7,Blanche,5.8,0,
359,,0,90,Blanche,0,0,
361,,0,92,Blanche,0,0,
362,,0,68.9,Blanche,18.8,0,
364,,0,78.4,Blanche,0,0,
365,,0,78.6,Blanche,7.1,0,
366,,0,89.1,Blanche,0,0,
367,,0,70.2,Blanche,4,0,
368,,0,83.6,Blanche,0,0,
369,,0,64.7,Blanche,9.3,0,
377,,0,96.6,Blanche,0,0,
378,,0,70.6,Blanche,8.6,0,
397,,0,0,Blanc Cassé,0,0,
398,,0,74.2,Rose,0,0,
399,,0,56.6,Blanche,0,0,
400,,0,81.2,Blanche,4.5,0,
401,,0,76,Blanche,7.7,0,
402,,0,83.9,Blanche,0,0,
403,,0,83.2,Blanche,4.3,0,
470,,0,66.4,Blanche,24.4,0,
471,,0,66.4,Blanche,24.4,0,
503,,0,59.4,Blanche,10.6,0,
504,,0,59.4,Blanche,10.6,0,
506,,0,78,Blanche,7.5,0,
507,,0,50.1,Blanche,12.2,0,
526,,0,42,Blanche,0,0,
527,,0,81,Blanche,0,0,
536,,0,54.2,Blanche,0,0,
562,,0,81.7,Blanc Cassé,3.7,0,
563,,0,69.5,Blanche,14.9,0,
564,,0,69.5,Blanche,14.9,0,
565,,0,59,Blanc Cassé,0,0,
566,,0,80.4,Blanc Cassé,7.2,0,
567,,0,80.4,Blanc Cassé,7.2,0,
568,,0,66.8,Blanche,0,0,
577,,0,87.5,Blanc Cassé,0,0,
578,,0,78,Jaune,0,0,
579,,0,63,Blanche,0,0,
580,,0,85,Blanche,0,0,
581,,0,85,Blanche,0,0,
582,,0,69,Blanche,0,0,
583,,0,80,Blanche,0,0,
584,,0,62,Blanche,0,0,
585,,0,76,Blanche,0,0,
586,,0,77,Blanche,0,0,
587,,0,73,Blanche,0,0,
598,,0,95,Blanche,0,0,
599,,0,95,Blanche,0,0,
600,,0,95,Blanche,0,0,
601,,0,95,Blanche,0,0,
602,,0,95,Blanche,0,0,
603,,0,95,Blanche,0,0,
604,,0,95,Blanche,0,0,
605,,0,65.6,Blanche,19.8,0,
638,,0,30.4,Blanche,0,0,
639,,0,87.6,Blanc Cassé,0,0,
640,,0,69.6,Blanche,11.2,0,
641,,0,84.2,Blanche,0,0,
646,,0,52,Blanche,0,0,
647,,0,82,Blanche,0,0,
649,,0,47,Blanche,0,0,
669,,0,33,Blanche,0,0,
670,0,0,35,Blanche,0,0,
