id,_3_4_methylene_dioxy_methylamphetamine,cafeine,couleur,heroine,noscapine,paracetamol
4,,29.35,Beige,3.3,2.6,58.75
5,,29.35,Beige,3.3,2.6,58.75
6,,29.35,Beige,3.3,2.6,58.75
7,,29.35,Beige,3.3,2.6,58.75
8,,28.76,Beige,4.6,3.63,58
9,,28.76,Beige,4.6,3.63,58
10,,28.76,Beige,4.6,3.63,58
20,,29.35,Beige,4.4,3.05,56.7
21,,29.35,Beige,4.4,3.05,56.7
31,,30.1,Beige,7.7,,57.9
37,,27,Beige,8.1,5.65,45.05
38,,27,Beige,8.1,5.65,45.05
51,,26,Beige,13,9,48
141,,18.7,Beige,24.5,10.9,35.3
144,,21.2,Beige,21.8,10.4,39.4
157,,30.3,Beige,6.1,0,56.7
158,,30.3,Beige,6.1,0,56.7
159,,28.9,Beige,10.1,0,49.8
187,,25.8,Beige,13.5,5.3,50.3
191,,20.7,Beige,21.9,8.8,40.6
192,,22.5,Beige,18,9.6,44.9
193,,22.5,Beige,18,9.6,44.9
194,,22.5,Beige,18,9.6,44.9
195,,24.3,Beige,15.2,9.4,49.1
196,,24.3,Beige,15.2,9.4,49.1
197,,30.1,Beige,11.8,7.2,46.6
198,,23.2,Beige,17.5,7.2,45.9
199,,23.1,Beige,17.6,7.2,45.4
200,,34.7,Beige,0,,66.9
201,,23.1,Beige,14.5,9.9,48.8
202,,21,Beige,21.6,10.3,39.2
203,,21,Beige,21.6,10.3,39.2
207,,20.3,Beige,20.5,10.2,39.2
209,,,Beige,51,33.7,
213,,24.6,Beige,15,9,48.3
219,,27.2,Beige,11.4,5.3,53.5
295,,25,Beige,14.9,9.2,49
320,,33,Beige,0,0,63
321,,33,Beige,0,0,63
322,,33,Beige,0,0,63
323,,33,Beige,0,0,63
324,,33,Beige,0,0,63
325,,33,Beige,0,0,63
326,,33,Beige,0,0,63
347,,30,Marron,6,0,61
348,,30,Marron,6,0,61
349,,30,Marron,6,0,61
350,,30,Marron,6,0,61
351,,30,Marron,6,0,61
360,,29.9,Beige,4.3,0,56.8
372,,22.4,Beige,16.5,7.6,44.1
376,,30.5,Beige,7,0,57.6
379,,22.1,Beige,32.1,5.7,38.3
497,,25.5,Beige,8.1,6.6,47.3
498,,25.2,Beige,8.1,6.4,46.8
499,,25.2,Beige,8.1,6.4,46.8
500,,25.2,Beige,8.1,6.4,46.8
501,,25.2,Beige,8.1,6.4,46.8
502,,25.2,Beige,8.1,6.4,46.8
533,,31.4,Beige,0,0,59.2
534,,32,Beige,3.3,0,61.1
535,,11,Beige,49.7,11.1,8.7
548,,23,Autre,6.6,5.2,46.6
549,,23.6,Autre,7.5,5.7,47.2
757,,16,Beige,30,15,31
822,,29,Beige,8.9,0,53.8
823,,29,Beige,8.9,0,53.8
824,,29,Beige,8.9,0,53.8
825,,29,Beige,8.9,0,53.8
895,,,Marron,55.9,19.5,
896,,,Beige,55.5,23.8,
897,,22.1,Beige,19,9,42.8
898,,36,Beige,0,,69.1
913,,,Beige,54,22,2
