id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,couleur,diametre,epaisseur,forme,hauteur,largeur,masse
2,0,0,Blanche,0,0,,0,0,0
36,23.9,0,Beige,11.09,4.31,Circulaire,0,0,450
39,0,0,Blanc Cassé,0,0,,0,0,0
41,42,0,Violet,15,9.1,Circulaire,0,0,450
58,100,0,Beige,0,0,,0,0,0
59,100,0,Beige,0,0,,0,0,0
60,100,0,Beige,0,0,,0,0,0
61,100,0,Beige,0,0,,0,0,0
62,100,0,Beige,0,0,,0,0,0
63,100,0,Beige,0,0,,0,0,0
64,100,0,Beige,0,0,,0,0,0
65,51.6,0,Grise,0,5.6,Autre,13,9.3,489
66,51.6,0,Grise,0,5.6,Autre,13,9.3,489
67,51.6,0,Grise,0,5.6,Autre,13,9.3,489
68,51.6,0,Grise,0,5.6,Autre,13,9.3,489
69,51.6,0,Grise,0,5.6,Autre,13,9.3,489
71,0,0,Blanche,0,0,,0,0,0
72,0,0,Blanche,0,0,,0,0,0
73,0,0,Blanche,0,0,,0,0,0
74,0,0,Blanche,0,0,,0,0,0
75,0,0,Blanche,0,0,,0,0,0
76,0,0,Blanche,0,0,,0,0,0
77,0,0,Blanche,0,0,,0,0,0
78,0,0,Blanche,0,0,,0,0,0
79,0,0,Blanche,0,0,,0,0,0
80,0,0,Blanche,0,0,,0,0,0
113,50,0,Bleue,10,4,Circulaire,0,0,500
149,0,0,Blanc Cassé,0,0,,0,0,0
163,27,0,Grise,0,5.18,Triangulaire,10.04,10.55,408
164,23.9,0,Beige,11.09,4.31,Circulaire,0,0,450
165,23.9,0,Beige,11.07,3.51,Circulaire,0,0,382
166,21,0,Vert,11.13,4.18,Circulaire,0,0,407
167,22.5,0,Vert,11.1,3.84,Circulaire,0,0,403
168,29.8,0,Blanche,0,4.62,Rectangulaire_Carré,6.06,12.13,413
169,97.7,0,Beige,0,0,,0,0,0
170,97.7,0,Beige,0,0,,0,0,0
171,0,0,Beige,0,0,,0,0,0
172,0,0,Beige,0,0,,0,0,0
249,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
250,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
251,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
252,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
253,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
254,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
255,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
256,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
