id,abime,cannabidiol,cannabigerol,cannabinol,cbd,cbn,couleur,couleur_exterieur,couleur_exterieur_1,couleur_interieur,delta9_tetrahydrocannabinol,description_de_l_objet,epaisseur,etiquette,forme,hauteur,largeur,logo,longueur,masse,nom_de_logo,numero_echantillon,ovule,presentation,secabilite_recto,secabilite_verso,taux_cbd,taux_cbn,type_drogue,visqueux
3,,,,,,,,,,,8,,,,,,,Non,,,,20_053960,,Sommités,,,,,Cannabis,
29,,,,,,,,,,,13.5,,,,,,,Non,,,,2,,Sommités,,,,,Cannabis,
30,,,,,,,,,,,13.5,,,,,,,Non,,,,11,,Sommités,,,,,Cannabis,
32,,,,,1,1,,,,,20.4,,,,,,,Non,,5.2,,1,,Morceaux,,,1.6,1.4,Cannabis,
33,,,,,1,1,,,,,30.7,,,,,,,Non,,3.1,,10,,Morceaux,,,1.5,0,Cannabis,
42,,,,,,1,,,,,12.6,,,,,,,Non,,,,3,,Sommités,,,,0,Cannabis,
49,,,,,,,,,,,7,,,,,,,Non,,,,5309,,Sommités,,,,,Cannabis,
50,,,,,1,1,,,,,34.7,,,,,,,Non,,3.8,,01,,Morceaux,,,2.5,1.5,Cannabis,
52,,,,,1,1,,,,,33.3,,22,Oui,,,56,Oui,111,98.2,HOMER SIMPSON,2,,Plaquette,,,2.3,0,Cannabis,
53,Non,,,,1,1,,,,,33.3,,22,Oui,,,56,Oui,111,98.2,HOMER SIMPSON,2,,Plaquette,Aucune,Demi,2.3,0,Cannabis,
54,,,,,,1,,,,,15.6,,,,,,,Non,,,,Dr P1 a,,Sommités,,,,0,Cannabis,
55,,,,,,1,,,,,15.6,,,,,,,Non,,,,Dr P3 a,,Sommités,,,,0,Cannabis,
56,,,,,,1,,,,,11.3,,,,,,,Non,,,,Dr P2 a,,Sommités,,,,0,Cannabis,
57,,,,,,1,,,,,22.8,,,,,,,Non,,,,Dr P4 a,,Sommités,,,,0,Cannabis,
81,,,,,1,1,,,,,26,,21,,,,56,Non,126,190.4,,A1,,Plaquette,,,2.1,1.1,Cannabis,
82,,,,,1,1,,,,,26,,21,,,,56,Non,126,190.4,,A2,,Plaquette,,,2.1,1.1,Cannabis,
83,,,,,1,1,,,,,19.5,,23,Oui,,,61,Oui,106,98.2,TOP MEXICANA good vibes souris,A5,,Plaquette,,,0,0,Cannabis,
84,,,,,1,1,,,,,19.5,,23,Oui,,,61,Oui,106,98.2,TOP MEXICANA good vibes souris,A6,,Plaquette,,,0,0,Cannabis,
85,,,,,1,1,,,,,27,,23,Oui,,,55,Oui,118,98.9,Kinder,A7,,Plaquette,,,1.8,0,Cannabis,
86,,,,,1,1,,,,,27,,23,Oui,,,55,Oui,118,98.9,Kinder,A8,,Plaquette,,,1.8,0,Cannabis,
87,,,,,1,1,,,,,27,,23,Oui,,,55,Oui,118,98.9,Kinder,A9,,Plaquette,,,1.8,0,Cannabis,
88,,,,,1,,,,,,0,,24,,,,56,Non,98,91.8,,A3,,Plaquette,,,12,,Cannabis,
89,,,,,1,,,,,,0,,24,,,,56,Non,97,93.1,,A4,,Plaquette,,,15.3,,Cannabis,
90,,,,,,,,,,,15.4,,,,,,,Non,,,,1,,,,,,,Cannabis,
92,,,,,1,1,,,,,27.8,,,,,,,Non,,0.9,,3,,Morceaux,,,1.6,0,Cannabis,
93,,,,,1,,,,,,0,,,,,,,Non,,,,4,,Sommités,,,5.5,,Cannabis,
94,,,,,1,1,,,,,36.7,,31,Oui,,,47,Oui,90,86.5,VALENTINO,2-1,,Plaquette,,,1.7,0,Cannabis,
95,,,,,1,1,,,,,36.7,,31,Oui,,,47,Oui,90,86.5,VALENTINO,2-2,,Plaquette,,,1.7,0,Cannabis,
96,,,,,,1,,,,,11.8,,,,,,,Non,,,,2-3,,Sommités,,,,0,Cannabis,
97,,,,,1,1,,,,,38.2,,31,Oui,,,49,Oui,83,96.5,LACOSTE,A1,,Plaquette,,,1.4,0,Cannabis,
98,,,,,1,1,,,,,38.2,,31,Oui,,,49,Oui,83,96.5,LACOSTE,A2,,Plaquette,,,1.4,0,Cannabis,
99,,,,,1,1,,,,,32.7,,17,Oui,,,50,Oui,65,44.9,BOGOTA,A3,,Plaquette,,,1.2,1.1,Cannabis,
100,,,,,1,1,,,,,29,,,,,,,Non,,0.5,,14,,Morceaux,,,1.8,1.2,Cannabis,
101,,,,,1,1,,,,,28.7,,24,Oui,,,61,Oui,105,99,cheese lemon,24,,Plaquette,,,1.7,1.1,Cannabis,
122,,,,,,1,,,,,7.1,,,,,,,Non,,,,A1,,Sommités,,,,0,Cannabis,
123,,,,,,1,,,,,7.1,,,,,,,Non,,,,A3,,Sommités,,,,0,Cannabis,
124,,,,,1,1,,,,,13.8,,,,,,,Non,,1.9,,32-31,,Morceaux,,,6.7,4.2,Cannabis,
125,,,,,1,1,,,,,0,,,,,,,Non,,29.6,,2-35,,Morceaux,,,15.9,0,Cannabis,
126,,,,,1,1,,,,,0,,,,,,,Non,,29.6,,8-35,,Morceaux,,,15.9,0,Cannabis,
127,,,,,1,1,,,,,0,,,,,,,Non,,29.6,,9-35,,Morceaux,,,15.9,0,Cannabis,
128,,,,,1,1,,,,,34.9,,,,,,,Non,,2.7,,4-35,,Morceaux,,,1.8,0,Cannabis,
129,,,,,1,1,,,,,34.9,,,,,,,Non,,2.7,,10-35,,Morceaux,,,1.8,0,Cannabis,
130,,,,,1,,,,,,0,,,,,,,Non,,,,1,,Sommités,,,11.1,,Cannabis,
131,,,,,1,1,,,,,35,,,,,,,Non,,4.9,,2-1,,Morceaux,,,1.6,0,Cannabis,
132,,,,,1,1,,,,,35,,,,,,,Non,,4.9,,2-2,,Morceaux,,,1.6,0,Cannabis,
133,,,,,1,1,,,,,35,,,,,,,Non,,4.9,,2-3,,Morceaux,,,1.6,0,Cannabis,
154,,,,,,,,,,,15.6,,,,,,,Non,,,,AB,,Sommités,,,,,Cannabis,
155,,,,,1,1,,,,,29.1,,24,Oui,,,45,Oui,87,94.7,SHIT,AC1,,Plaquette,,,1.3,4,Cannabis,
156,,,,,1,1,,,,,29.9,,25,Oui,,,59,Oui,92,98.7,PLATA O PLOMO visage,AC2,,Plaquette,,,1.5,0,Cannabis,
180,,,,,1,1,,,,,1,,,,,,,Non,,10.9,,K14,,Morceaux,,,19.5,0,Cannabis,
181,,,,,1,1,,,,,1,,,,,,,Non,,10.9,,A7,,Morceaux,,,19.5,0,Cannabis,
182,,,,,1,1,,,,,0,,,,,,,Non,,,,S31,,Sommités,,,9.3,0,Cannabis,
183,,,,,1,1,,,,,26.7,,,,,,,Non,,14.8,,S33,,Morceaux,,,1.6,0,Cannabis,
184,,,,,1,1,,,,,26.7,,,,,,,Non,,14.8,,S35,,Morceaux,,,1.6,0,Cannabis,
220,,,,,,1,,,,,13.1,,,,,,,Non,,,,2-1,,Sommités,,,,0,Cannabis,
221,,,,,,1,,,,,13.1,,,,,,,Non,,,,2-2,,Sommités,,,,0,Cannabis,
222,,,,,1,1,,,,,33.3,,29,Oui,,,54,Oui,84,94.7,NIKOL HAZ,3-1,,Plaquette,,,2.2,0,Cannabis,
223,,,,,1,1,,,,,32.5,,,,,,,Non,,9.7,,3-2,,Morceaux,,,2.2,0,Cannabis,
224,,,,,1,1,,,,,23.8,,,,,,,Non,,7.8,,3-3,,Morceaux,,,1.2,1.1,Cannabis,
225,,,,,1,1,,,,,19.1,,,,,,,Non,,,,H1,,Sommités,,,0,1,Cannabis,
226,,,,,1,1,,,,,19.1,,,,,,,Non,,,,H2,,Sommités,,,0,1,Cannabis,
229,,,,,1,,,,,,0,,,,,,,Non,,,,H1,,Sommités,,,4.7,,Cannabis,
230,,,,,1,,,,,,0,,,,,,,Non,,,,H3,,Sommités,,,4.7,,Cannabis,
231,,,,,1,,,,,,0,,,,,,,Non,,,,H4,,Sommités,,,4.7,,Cannabis,
232,,,,,1,,,,,,0,,,,,,,Non,,,,H6,,Sommités,,,4.7,,Cannabis,
233,,,,,1,1,,,,,0,,,,,,,Non,,,,H2,,Sommités,,,3,0,Cannabis,
235,,,,,1,1,,,,,36.6,,,,,,,Non,,4.1,,4-1,,Morceaux,,,1.2,0,Cannabis,
236,,,,,1,1,,,,,36.6,,,,,,,Non,,4.1,,4-2,,Morceaux,,,1.2,0,Cannabis,
237,,,,,1,1,,,,,36.6,,,,,,,Non,,4.1,,4-3,,Morceaux,,,1.2,0,Cannabis,
238,,,,,1,1,,,,,36.4,,,,,,,Non,,4.1,,5-1,,Morceaux,,,1.2,0,Cannabis,
239,,,,,1,1,,,,,36.4,,,,,,,Non,,4.1,,5-2,,Morceaux,,,1.2,0,Cannabis,
240,,,,,1,1,,,,,36.4,,,,,,,Non,,4.1,,5-3,,Morceaux,,,1.2,0,Cannabis,
241,,,,,1,1,,,,,26.8,,38,,,,61,Non,125,194.5,,SAD,,Plaquette,,,2.1,1.1,Cannabis,
242,,,,,1,1,,,,,26.8,,38,,,,61,Non,125,194.5,,SGD,,Plaquette,,,2.1,1.1,Cannabis,
243,,,,,1,1,,,,,26.8,,38,,,,61,Non,125,194.5,,SRD,,Plaquette,,,2.1,1.1,Cannabis,
267,,,,,1,1,,,,,0,,,,,,,Non,,,,20_053998,,Morceaux,,,3,4,Cannabis,
268,,,,,1,1,,,,,0,,,,,,,Non,,,,20_053999,,Morceaux,,,3,4,Cannabis,
287,,,,,,,,,,,17,,,,,,,Non,,,,10365-1,,Sommités,,,,,Cannabis,
288,,,,,1,1,,,,,35,,,,,,,Non,,,,10366-1,,Morceaux,,,1.5,0,Cannabis,
309,,,,,1,,,,,,0,,,,,,,Non,,,,6,,Sommités,,,13.2,,Cannabis,
310,,,,,1,1,,,,,0,,,,,,,Non,,3.5,,7,,Morceaux,,,18.6,0,Cannabis,
311,,,,,1,1,,,,,29.7,,,,,,,Non,,2.7,,3,,Autre,,,1.8,0,Cannabis,
312,,,,,,,,,,,22.7,,,,,,,Non,,,,1,,Sommités,,,,,Cannabis,
313,,,,,,,,,,,20,,,,,,,Non,,,,3,,,,,,,Cannabis,
314,,,,,1,,,,,,0,,25,Oui,,,56,Oui,97,92.7,voiture,A1,,Plaquette,,,19.4,,Cannabis,
315,,,,,1,,,,,,0,,26,Oui,,,56,Oui,99,98.6,ROLEX,A2,,Plaquette,,,15.7,,Cannabis,
316,,,,,1,,,,,,0,,26,Oui,,,56,Oui,99,98.6,ROLEX,A3,,Plaquette,,,15.7,,Cannabis,
317,,,,,1,,,,,,0,,25,,,,55,Non,95,96.2,,A4,,Plaquette,,,16.3,,Cannabis,
318,,,,,1,,,,,,0,,28,,,,55,Non,98,94.6,,A5,,Plaquette,,,13.5,,Cannabis,
319,,,,,1,,,,,,0,,28,,,,55,Non,98,94.6,,A6,,Plaquette,,,13.5,,Cannabis,
327,,,,,1,1,,,,,32.6,,,,,,,Non,,2.9,,2,,Morceaux,,,0,0,Cannabis,
