id,_3_4_methylene_dioxy_methylamphetamine,acetylcodeine,acetylthebaol,cafeine,clotrimazole,cocaine,couleur,description_de_l_objet,dextromethorphane,griseofulvine,heroine,logo,mannitol,meconine,monoacetylmorphine,morphine,nom_de_logo,noscapine,numero_echantillon,o3_monoacetylmorphine_,o6_monoacetylmorphine,ovule,papaverine,paracetamol,phenacetine,presentation,saccharose,type_drogue
4,,,,29.35,,,Beige,,,,3.3,Non,,,2,,,2.6,P1,,,0,,58.75,,,,Héroïne
5,,,,29.35,,,Beige,,,,3.3,Non,,,2,,,2.6,P2,,,0,,58.75,,,,Héroïne
6,,,,29.35,,,Beige,,,,3.3,Non,,,2,,,2.6,P3,,,0,,58.75,,,,Héroïne
7,,,,29.35,,,Beige,,,,3.3,Non,,,2,,,2.6,P4,,,0,,58.75,,,,Héroïne
8,,,,28.76,,,Beige,,,,4.6,Non,,,2,,,3.63,P5,,,0,,58,,,,Héroïne
9,,,,28.76,,,Beige,,,,4.6,Non,,,2,,,3.63,P6,,,0,,58,,,,Héroïne
10,,,,28.76,,,Beige,,,,4.6,Non,,,2,,,3.63,P7,,,0,,58,,,,Héroïne
20,,,,29.35,,,Beige,,,,4.4,Non,,,1.8,,,3.05,1-A,,,0,,56.7,,,,Héroïne
21,,,,29.35,,,Beige,,,,4.4,Non,,,1.8,,,3.05,2A,,,0,,56.7,,,,Héroïne
31,,,,30.1,,,Beige,,,,7.7,Non,,,,,,,2/DM,,,0,,57.9,,,,Héroïne
37,,,,27,,,Beige,,,,8.1,Non,,,,,,5.65,Plaquette O,,,0,,45.05,,,,Héroïne
38,,,,27,,,Beige,,,,8.1,Non,,,,,,5.65,Plaquette X,,,0,,45.05,,,,Héroïne
51,,,,26,,,Beige,,,,13,Non,,,,,,9,20_053988,,,0,,48,,,,Héroïne
141,,,,18.7,,,Beige,,,,24.5,Non,,,,,,10.9,6-35,,,0,,35.3,,,,Héroïne
144,,,,21.2,,,Beige,,,,21.8,Non,,,,,,10.4,1515E,,,0,,39.4,,,,Héroïne
157,,,,30.3,,,Beige,,,,6.1,Non,,,,,,0,AT2,,,0,,56.7,,,,Héroïne
158,,,,30.3,,,Beige,,,,6.1,Non,,,,,,0,AT3,,,0,,56.7,,,,Héroïne
159,,,,28.9,,,Beige,,,,10.1,Non,,,,,,0,AT4,,,0,,49.8,,,,Héroïne
187,,,,25.8,,,Beige,,,,13.5,Non,,,,,,5.3,A17,,,0,,50.3,,,,Héroïne
191,,,,20.7,,,Beige,,,,21.9,Non,,,,,,8.8,1,,,0,,40.6,,,,Héroïne
192,,,,22.5,,,Beige,,,,18,Non,,,,,,9.6,10,,,0,,44.9,,,,Héroïne
193,,,,22.5,,,Beige,,,,18,Non,,,,,,9.6,16,,,0,,44.9,,,,Héroïne
194,,,,22.5,,,Beige,,,,18,Non,,,,,,9.6,13,,,0,,44.9,,,,Héroïne
195,,,,24.3,,,Beige,,,,15.2,Non,,,,,,9.4,26E,,,0,,49.1,,,,Héroïne
196,,,,24.3,,,Beige,,,,15.2,Non,,,,,,9.4,2GL,,,0,,49.1,,,,Héroïne
197,,,,30.1,,,Beige,,,,11.8,Non,,,,,,7.2,19F,,,0,,46.6,,,,Héroïne
198,,,,23.2,,,Beige,,,,17.5,Non,,,,,,7.2,19N,,,0,,45.9,,,,Héroïne
199,,,,23.1,,,Beige,,,,17.6,Non,,,,,,7.2,2CS,,,0,,45.4,,,,Héroïne
200,,,,34.7,,,Beige,,,,0,Non,,,,,,,9FVA,,,0,,66.9,,,,Héroïne
201,,,,23.1,,,Beige,,,,14.5,Non,,,,,,9.9,10FVA,,,0,,48.8,,,,Héroïne
202,,,,21,,,Beige,,,,21.6,Non,,,,,,10.3,1S,,,0,,39.2,,,,Héroïne
203,,,,21,,,Beige,,,,21.6,Non,,,,,,10.3,1515E,,,0,,39.2,,,,Héroïne
207,,,,20.3,,,Beige,,,,20.5,Non,,,,,,10.2,20G,,,0,,39.2,,,,Héroïne
209,,,,,,,Beige,,,,51,Non,,,,,,33.7,22G,,,0,,,,,,Héroïne
213,,,,24.6,,,Beige,,,,15,Non,,,,,,9,1SR,,,0,,48.3,,,,Héroïne
219,,,,27.2,,,Beige,,,,11.4,Non,,,,,,5.3,1,,,0,,53.5,,,,Héroïne
295,,,,25,,,Beige,,,,14.9,Non,,,,,,9.2,PY6,,,0,,49,,,,Héroïne
320,,,,33,,,Beige,,,,0,Non,,,,,,0,1-1,,,0,,63,,,,Héroïne
321,,,,33,,,Beige,,,,0,Non,,,,,,0,1-2,,,0,,63,,,,Héroïne
322,,,,33,,,Beige,,,,0,Non,,,,,,0,1-3,,,0,,63,,,,Héroïne
323,,,,33,,,Beige,,,,0,Non,,,,,,0,1-4,,,0,,63,,,,Héroïne
324,,,,33,,,Beige,,,,0,Non,,,,,,0,1-5,,,0,,63,,,,Héroïne
325,,,,33,,,Beige,,,,0,Non,,,,,,0,1-6,,,0,,63,,,,Héroïne
326,,,,33,,,Beige,,,,0,Non,,,,,,0,1-7,,,0,,63,,,,Héroïne
347,,,,30,,,Marron,,,,6,Non,,,,,,0,1-1,,,0,,61,,,,Héroïne
348,,,,30,,,Marron,,,,6,Non,,,,,,0,1-2,,,0,,61,,,,Héroïne
349,,,,30,,,Marron,,,,6,Non,,,,,,0,1-3,,,0,,61,,,,Héroïne
350,,,,30,,,Marron,,,,6,Non,,,,,,0,1-4,,,0,,61,,,,Héroïne
