id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,abime,amphetamine,cafeine,couleur,couleur_exterieur,couleur_interieur,diametre,epaisseur,forme,hauteur,largeur,lidocaine,logo,masse,methamphetamine,nom_de_logo,numero_echantillon,ovule,phenacetine,secabilite_recto,secabilite_verso,type_drogue,visqueux
2,,,,,,Blanche,,,,,,,,,Non,,,,20_053933,0,,,,Amphétamine et dérivés,
36,23.9,,Non,,,,Beige,,11.09,4.31,Circulaire,,,,Oui,450,,W volkswagen SR,AT5,,,Aucune,Aucune,Amphétamine et dérivés,
39,,,,8.5,89.8,Blanc Cassé,,,,,,,,,Non,,,,30-1,0,,,,Amphétamine et dérivés,
41,42,,Non,,,,Violet,,15,9.1,Circulaire,,,,Oui,450,,coca cola,2,,,Aucune,Demi,Amphétamine et dérivés,
58,100,,,,,Beige,,,,,,,,,Non,,,,P1A,0,,,,Amphétamine et dérivés,
59,100,,,,,Beige,,,,,,,,,Non,,,,P2A,0,,,,Amphétamine et dérivés,
60,100,,,,,Beige,,,,,,,,,Non,,,,P4A,0,,,,Amphétamine et dérivés,
61,100,,,,,Beige,,,,,,,,,Non,,,,P6A,0,,,,Amphétamine et dérivés,
62,100,,,,,Beige,,,,,,,,,Non,,,,P7A,0,,,,Amphétamine et dérivés,
63,100,,,,,Beige,,,,,,,,,Non,,,,P8A,0,,,,Amphétamine et dérivés,
64,100,,,,,Beige,,,,,,,,,Non,,,,P10A,0,,,,Amphétamine et dérivés,
65,51.6,,Non,,,,Grise,,,5.6,Autre,13,9.3,,Non,489,,,P11A,,,Aucune,Aucune,Amphétamine et dérivés,
66,51.6,,Non,,,,Grise,,,5.6,Autre,13,9.3,,Non,489,,,P12A,,,Aucune,Aucune,Amphétamine et dérivés,
67,51.6,,Non,,,,Grise,,,5.6,Autre,13,9.3,,Non,489,,,P13A,,,Aucune,Aucune,Amphétamine et dérivés,
68,51.6,,Non,,,,Grise,,,5.6,Autre,13,9.3,,Non,489,,,P14A,,,Aucune,Aucune,Amphétamine et dérivés,
69,51.6,,Non,,,,Grise,,,5.6,Autre,13,9.3,,Non,489,,,P15A,,,Aucune,Aucune,Amphétamine et dérivés,
71,,,,100,,Blanche,,,,,,,,,Non,,,,6B,0,,,,Amphétamine et dérivés,
72,,,,93.5,,Blanche,,,,,,,,,Non,,,,7B,0,,,,Amphétamine et dérivés,
73,,,,85.1,,Blanche,,,,,,,,,Non,,,,8B,0,,,,Amphétamine et dérivés,
74,,,,88.5,,Blanche,,,,,,,,,Non,,,,9B,0,,,,Amphétamine et dérivés,
75,,,,88.5,,Blanche,,,,,,,,,Non,,,,10B,0,,,,Amphétamine et dérivés,
76,,,,88.5,,Blanche,,,,,,,,,Non,,,,1B,0,,,,Amphétamine et dérivés,
77,,,,91.4,,Blanche,,,,,,,,,Non,,,,2B,0,,,,Amphétamine et dérivés,
78,,,,91.4,,Blanche,,,,,,,,,Non,,,,3B,0,,,,Amphétamine et dérivés,
79,,,,91.4,,Blanche,,,,,,,,,Non,,,,4B,0,,,,Amphétamine et dérivés,
80,,,,91.4,,Blanche,,,,,,,,,Non,,,,5B,0,,,,Amphétamine et dérivés,
113,50,,Non,,,,Bleue,,10,4,Circulaire,,,,Oui,500,,speedy gonzales,3,,,Autre,Aucune,Amphétamine et dérivés,
149,,,,8.5,89.8,Blanc Cassé,,,,,,,,,Non,,,,30-1,0,,,,Amphétamine et dérivés,
163,27,,Non,,,,Grise,Grise,,5.18,Triangulaire,10.04,10.55,,Oui,408,,Mitsubishi,AT1,,,Aucune,Aucune,Amphétamine et dérivés,
164,23.9,,Non,,,,Beige,Beige,11.09,4.31,Circulaire,,,,Oui,450,,W Volkswagen  R,AT5,,,Aucune,Aucune,Amphétamine et dérivés,
165,23.9,,Non,,,,Beige,Beige,11.07,3.51,Circulaire,,,,Oui,382,,W Volksvagen   PABLO ESCOBAR,AT6,,,Aucune,Demi,Amphétamine et dérivés,
166,21,,Non,,,,Vert,Vert,11.13,4.18,Circulaire,,,,Oui,407,,W Volksvagen   R,AT7,,,Aucune,Aucune,Amphétamine et dérivés,
167,22.5,,Non,,,,Vert,Vert,11.1,3.84,Circulaire,,,,Oui,403,,W Volksvagen   PABLO ESCOBAR,AT8,,,Aucune,Demi,Amphétamine et dérivés,
168,29.8,,Non,,,,Blanche,Blanche,,4.62,Rectangulaire / Carré,6.06,12.13,,Oui,413,,domino,AT9,,,Aucune,Aucune,Amphétamine et dérivés,
169,97.7,,,,,Beige,,,,,,,,,Non,,,,AT10,0,,,,Amphétamine et dérivés,
170,97.7,,,,,Beige,,,,,,,,,Non,,,,AT11,0,,,,Amphétamine et dérivés,
171,,,,21.8,44.2,Beige,,,,,,,,,Non,,,,AT12,0,,,,Amphétamine et dérivés,
172,,,,21.8,44.2,Beige,,,,,,,,,Non,,,,AT13,0,,,,Amphétamine et dérivés,
249,35.5,,Non,,,,Orange,Orange,,4.8,Polygonale,9.1,10.9,,Oui,486.5,,3D,SA1,,,Aucune,Demi,Amphétamine et dérivés,
250,35.5,,Non,,,,Orange,Orange,,4.8,Polygonale,9.1,10.9,,Oui,486.5,,3D,SA2,,,Aucune,Demi,Amphétamine et dérivés,
