id,_3_4_methylenedioxyethylamphetamine,abime,acide_benzoique,acide_borique,amidon,aminopyrine,amoxycilline,amphetamine,benzocaine,benzoylecgonine,bicarbonate_de_sodium,bicarbonates,cafeine,cbn,cis_cinnamoylcocaine,cocaine,codeine,couleur,couleur_exterieur,couleur_interieur,creatine,delta9_tetrahydrocannabinol,description_de_l_objet,diltiazem,dimethylterephtalate,diphenydramine,ecgonidine,ecgoninemethylester,epaisseur,forme,glucose,guaifenesine,hauteur,heroine,hydroxyzine,ibuprofene,inositol,isoleucine,lactitol,lactose,largeur,leucine,levamisole,lidocaine,logo,maltose,mannitol,masse,methylecgonidine,nicotine,nom_de_logo,norcocaine,numero_echantillon,ovule,oxycodone,paracetamol,phenacetine,piracetam,presentation,procaine,pv8,saccharose,secabilite_recto,secabilite_verso,sorbitol,talc,taux_cbn,terephtalates,tetracaine,tramadol,trans_cinnamoylcocaine,tropacocaine,type_drogue,uree,valine,visqueux
11,,,,,,,,,,,,,,,,84.2,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,B1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
12,,,,,,,,,,,,,,,,90.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,B2,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
13,,,,,,,,,,,,,,,,90.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,B4,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
14,,,,,,,,,,,,,,,,87.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,B3,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
15,,,,,,,,,,,,,,,,50.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,0,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
16,,,,,,,,,,,,,,,,76.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
17,,,,,,,,,,,,,0,,,71.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,9,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
18,,,,,,,,,,,,,,,,76.1,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
19,,,,,,,,,,,,,,,,59.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
22,,,,,,,,,,,,,,,,31.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,0,9.7,Non,,,,,,,,10319,0,,,16.8,,,,,,,,,,,,,,,,Cocaïne,,,
23,,,,,,,,,,,,,,,,67.2,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
24,,,,,,,,,,,,,,,,82.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
25,,,,,,,,,,,,,0,,,73.6,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Non,,,,,,,,1,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
