id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,_3_4_methylenedioxyphenylacetone,_4f_mdmb_butinaca,_5f_adb,_5f_mdmb_pica,abime,acetylcodeine,acetylthebaol,acide_4_hydroxybutanoique,adb_butinaca,amidon,amphetamine,buprenorphine,cafeine,cbd,cbn,clonazepam,cocaine,codeine,couleur,couleur_exterieur,couleur_exterieur_1,couleur_exterieur_2,couleur_interieur,delta8_tetrahydrocannabinol,delta9_tetrahydrocannabinol,diametre,epaisseur,etiquette,forme,fub_amb,gammabutyrolactone,hauteur,ketamine,lactose,largeur,levamisole,lidocaine,logo,longueur,mannitol,masse,mdmb_4en_pinaca,morphine,n_methyl_tryptamine,nom_de_logo,noscapine,numero_echantillon,o6_monoacetylmorphine,ovule,paracetamol,phenacetine,presentation,procaine,secabilite_recto,secabilite_verso,taux_cbd,taux_cbn,type_drogue,vanilline,visqueux
1,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,20_053932,,0,,,,,,,,,Divers,,
70,,,,,,,,,,,,,,,,,,,,,Blanche,,Translucide,Blanche,,,,8,,,,,,,,,,,,Non,23,,,,,,,,20_053989 à 20_053995,,0,,,,,,,,,Divers,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,1p-LSD,,5402,,,,,,,,,,,Divers,,
173,,,,,,,,,,,,,,,,,,,,,Translucide,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,AT15,,0,,,,,,,,,Divers,,
204,,,,,,,,,,,,,,,35.5,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,4G,,0,67.2,,,,,,,,Divers,,
205,,,,,,,,,,,,,,,35.5,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,18G,,0,67.2,,,,,,,,Divers,,
206,,,,,,,,,,,,,,,35.5,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,2ETR,,0,67.2,,,,,,,,Divers,,
299,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,C2,,0,,,,,,,,,Divers,,
300,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,C3,,0,,,,,,,,,Divers,,
301,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,C4,,0,,,,,,,,,Divers,,
302,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,C5,,0,,,,,,,,,Divers,,
303,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,C6,,0,,,,,,,,,Divers,,
304,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,C7,,0,,,,,,,,,Divers,,
305,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,C8,,0,,,,,,,,,Divers,,
306,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,C9,,0,,,,,,,,,Divers,,
307,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,C10,,0,,,,,,,,,Divers,,
308,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0,,,,,,,,,,,,,Non,,,2.4,,,,,,2,,,,,Morceaux,,,,13.8,0,Divers,,
342,,,,,,,,,,,,,,,,,,,,,Jaune,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,5215,,0,,,,,,,,,Divers,,
352,,,,,,,,,,,,,,,33,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,1-1,,0,66,,,,,,,,Divers,,
353,,,,,,,,,,,,,,,33,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,1-2,,0,66,,,,,,,,Divers,,
354,,,,,,,,,,,,,,,33,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,1-3,,0,66,,,,,,,,Divers,,
