,id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,_3_4_methylenedioxyphenylacetone,_4f_mdmb_butinaca,_5f_adb,_5f_mdmb_pica,abime,acetylcodeine,acetylthebaol,acide_4_hydroxybutanoique,acide_benzoique,acide_borique,adb_butinaca,amidon,aminopyrine,amoxycilline,amphetamine,benzocaine,benzoylecgonine,bicarbonate_de_sodium,bicarbonates,buprenorphine,cafeine,cannabidiol,cannabigerol,cannabinol,cbd,cbn,cis_cinnamoylcocaine,clonazepam,clotrimazole,cocaine,codeine,couleur,couleur_exterieur,couleur_exterieur_1,couleur_exterieur_2,couleur_interieur,creatine,delta8_tetrahydrocannabinol,delta9_tetrahydrocannabinol,description_de_l_objet,dextromethorphane,diametre,diltiazem,dimethylterephtalate,diphenydramine,ecgonidine,ecgoninemethylester,epaisseur,etiquette,forme,fub_amb,gammabutyrolactone,glucose,griseofulvine,guaifenesine,hauteur,heroine,hydroxyzine,ibuprofene,inositol,isoleucine,ketamine,lactitol,lactose,largeur,leucine,levamisole,lidocaine,logo,longueur,maltose,mannitol,masse,mdmb_4en_pinaca,meconine,methamphetamine,methylecgonidine,monoacetylmorphine,morphine,nicotine,n_methyl_tryptamine,nom_de_logo,norcocaine,noscapine,numero_echantillon,o3_monoacetylmorphine_,o6_monoacetylmorphine,ovule,oxycodone,papaverine,paracetamol,phenacetine,piracetam,presentation,procaine,pv8,saccharose,secabilite_recto,secabilite_verso,sorbitol,talc,taux_cbd,taux_cbn,terephtalates,tetracaine,tramadol,trans_cinnamoylcocaine,tropacocaine,type_drogue,uree,valine,vanilline,visqueux
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,20_053932,,,0,,,,,,,,,,,,,,,,,,,,,Divers,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,20_053933,,,0,,,,,,,,,,,,,,,,,,,,,Amphétamine et dérivés,,,,
2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,20_053960,,,,,,,,,Sommités,,,,,,,,,,,,,,,Cannabis,,,,
3,4,,,,,,,,,,,,,,,,,,,,,,,29.35,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,Non,,,,,,,,,2,,,,,,2.6,P1,,,0,,,58.75,,,,,,,,,,,,,,,,,,Héroïne,,,,
4,5,,,,,,,,,,,,,,,,,,,,,,,29.35,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,Non,,,,,,,,,2,,,,,,2.6,P2,,,0,,,58.75,,,,,,,,,,,,,,,,,,Héroïne,,,,
5,6,,,,,,,,,,,,,,,,,,,,,,,29.35,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,Non,,,,,,,,,2,,,,,,2.6,P3,,,0,,,58.75,,,,,,,,,,,,,,,,,,Héroïne,,,,
6,7,,,,,,,,,,,,,,,,,,,,,,,29.35,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,Non,,,,,,,,,2,,,,,,2.6,P4,,,0,,,58.75,,,,,,,,,,,,,,,,,,Héroïne,,,,
7,8,,,,,,,,,,,,,,,,,,,,,,,28.76,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,Non,,,,,,,,,2,,,,,,3.63,P5,,,0,,,58,,,,,,,,,,,,,,,,,,Héroïne,,,,
8,9,,,,,,,,,,,,,,,,,,,,,,,28.76,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,Non,,,,,,,,,2,,,,,,3.63,P6,,,0,,,58,,,,,,,,,,,,,,,,,,Héroïne,,,,
9,10,,,,,,,,,,,,,,,,,,,,,,,28.76,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,Non,,,,,,,,,2,,,,,,3.63,P7,,,0,,,58,,,,,,,,,,,,,,,,,,Héroïne,,,,
