id,abime,cannabidiol,cannabinol,couleur,delta9_tetrahydrocannabinol,epaisseur,etiquette,hauteur,largeur,longueur,masse,presentation,taux_cbd,taux_cbn,visqueux
3,False,0,0,,8,0,False,0,0,0,0,Sommités,0,0,False
29,False,0,0,,13.5,0,False,0,0,0,0,Sommités,0,0,False
30,False,0,0,,13.5,0,False,0,0,0,0,Sommités,0,0,False
32,False,0,0,,20.4,0,False,0,0,0,5.2,Morceaux,1.6,1.4,False
33,False,0,0,,30.7,0,False,0,0,0,3.1,Morceaux,1.5,0,False
42,False,0,0,,12.6,0,False,0,0,0,0,Sommités,0,0,False
49,False,0,0,,7,0,False,0,0,0,0,Sommités,0,0,False
50,False,0,0,,34.7,0,False,0,0,0,3.8,Morceaux,2.5,1.5,False
52,False,0,0,,33.3,22,True,0,56,111,98.2,Plaquette,2.3,0,False
53,False,0,0,,33.3,22,True,0,56,111,98.2,Plaquette,2.3,0,False
54,False,0,0,,15.6,0,False,0,0,0,0,Sommités,0,0,False
55,False,0,0,,15.6,0,False,0,0,0,0,Sommités,0,0,False
56,False,0,0,,11.3,0,False,0,0,0,0,Sommités,0,0,False
57,False,0,0,,22.8,0,False,0,0,0,0,Sommités,0,0,False
81,False,0,0,,26,21,False,0,56,126,190.4,Plaquette,2.1,1.1,False
82,False,0,0,,26,21,False,0,56,126,190.4,Plaquette,2.1,1.1,False
83,False,0,0,,19.5,23,True,0,61,106,98.2,Plaquette,0,0,False
84,False,0,0,,19.5,23,True,0,61,106,98.2,Plaquette,0,0,False
85,False,0,0,,27,23,True,0,55,118,98.9,Plaquette,1.8,0,False
86,False,0,0,,27,23,True,0,55,118,98.9,Plaquette,1.8,0,False
87,False,0,0,,27,23,True,0,55,118,98.9,Plaquette,1.8,0,False
88,False,0,0,,0,24,False,0,56,98,91.8,Plaquette,12,0,False
89,False,0,0,,0,24,False,0,56,97,93.1,Plaquette,15.3,0,False
90,False,0,0,,15.4,0,False,0,0,0,0,,0,0,False
92,False,0,0,,27.8,0,False,0,0,0,0.9,Morceaux,1.6,0,False
93,False,0,0,,0,0,False,0,0,0,0,Sommités,5.5,0,False
94,False,0,0,,36.7,31,True,0,47,90,86.5,Plaquette,1.7,0,False
95,False,0,0,,36.7,31,True,0,47,90,86.5,Plaquette,1.7,0,False
96,False,0,0,,11.8,0,False,0,0,0,0,Sommités,0,0,False
97,False,0,0,,38.2,31,True,0,49,83,96.5,Plaquette,1.4,0,False
98,False,0,0,,38.2,31,True,0,49,83,96.5,Plaquette,1.4,0,False
99,False,0,0,,32.7,17,True,0,50,65,44.9,Plaquette,1.2,1.1,False
100,False,0,0,,29,0,False,0,0,0,0.5,Morceaux,1.8,1.2,False
101,False,0,0,,28.7,24,True,0,61,105,99,Plaquette,1.7,1.1,False
122,False,0,0,,7.1,0,False,0,0,0,0,Sommités,0,0,False
123,False,0,0,,7.1,0,False,0,0,0,0,Sommités,0,0,False
124,False,0,0,,13.8,0,False,0,0,0,1.9,Morceaux,6.7,4.2,False
125,False,0,0,,0,0,False,0,0,0,29.6,Morceaux,15.9,0,False
126,False,0,0,,0,0,False,0,0,0,29.6,Morceaux,15.9,0,False
127,False,0,0,,0,0,False,0,0,0,29.6,Morceaux,15.9,0,False
128,False,0,0,,34.9,0,False,0,0,0,2.7,Morceaux,1.8,0,False
129,False,0,0,,34.9,0,False,0,0,0,2.7,Morceaux,1.8,0,False
130,False,0,0,,0,0,False,0,0,0,0,Sommités,11.1,0,False
131,False,0,0,,35,0,False,0,0,0,4.9,Morceaux,1.6,0,False
132,False,0,0,,35,0,False,0,0,0,4.9,Morceaux,1.6,0,False
133,False,0,0,,35,0,False,0,0,0,4.9,Morceaux,1.6,0,False
154,False,0,0,,15.6,0,False,0,0,0,0,Sommités,0,0,False
155,False,0,0,,29.1,24,True,0,45,87,94.7,Plaquette,1.3,4,False
156,False,0,0,,29.9,25,True,0,59,92,98.7,Plaquette,1.5,0,False
180,False,0,0,,1,0,False,0,0,0,10.9,Morceaux,19.5,0,False
181,False,0,0,,1,0,False,0,0,0,10.9,Morceaux,19.5,0,False
182,False,0,0,,0,0,False,0,0,0,0,Sommités,9.3,0,False
183,False,0,0,,26.7,0,False,0,0,0,14.8,Morceaux,1.6,0,False
